what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660062444
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660062493
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660066303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660084138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660084323
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283660088135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660094297
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660094389
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660094434
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283660097869
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660099822
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660102613
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660102613
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660106408
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660106408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660109689
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660111596
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283660113420
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1283660118697
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1283660120415
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1283660120436
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660138699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660139957
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1283660139967
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660145164
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660150495
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660152569
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660152649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660153033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660153296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660153417
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660153776
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660153899
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660304384
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1283660304507
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1283660304512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660309475
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660360766
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660360783
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660365794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660386533
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1283660390933
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660404231
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660404232
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283660406484
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660406701
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283660406770
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283660409295
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1283660414289
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283660415490
