what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692218018
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692219784
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282692219923
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1282692219923
error,log,,,"Widget is disposed",1282692219971
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1282692223952
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.update",1282692234352
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692234664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692235958
opened,view,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.conflicts.TreeConflictsView",1282692244407
activated,view,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.conflicts.TreeConflictsView",1282692244480
executed,command,,,"org.tigris.subversion.subclipse.ui.actions.ShowTreeConflictsAction",1282692247226
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1282692249660
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.synchronize",1282692253829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692254113
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692255891
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1282692256194
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1282692256229
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1282692256257
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1282692256307
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282692256332
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1282692256378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692256465
opened,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1282692256819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692256858
activated,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1282692256873
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692257247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692257760
executed,command,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.copyAllRightToLeft",1282692270340
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692278193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692280866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692284843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282692286202
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1282692305182
