what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283105228994
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105245719
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105246721
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283105246805
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283105246805
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105249277
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105250821
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1283105251795
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105254697
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105280907
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1283105285594
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1283105289377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105300162
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283105333639
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1283105333743
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283105385946
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283105389490
